time,rank_0_hw_accumulated,rank_0_hw_epoch,rank_0_nz_accumulated,rank_0_nz_epoch,
967.054,15.0856,15.0856,6.7896,6.7896,
1930,15.1177,15.15,6.80406,6.81858,
