TITLE = "Temporal Signal for receiver number 00003"
VARIABLES = "Time","s_xx","s_yy","s_zz","s_xy","s_yz","s_xz","v1","v2","v3","p","v1_f","v2_f","v3_f"
# x1       3.000000000000e+03
# x2       1.000000000000e+03
# x3       -7.500000000000e+03
  0.000000000000000e+00  -2.538556873332709e-05  8.876691026671324e-06  3.628697231761180e-05  -4.111932503292337e-05  -2.215616995426828e-10  -2.253106146099526e-09  -2.941454113170039e-06  -1.960969939318602e-06  -1.025560170640760e-12  1.362659200000000e+07  4.706329946202459e-06  3.137553676424432e-06  1.649117691363000e-12
  4.999999888241291e-03  -7.936154492199421e-03  1.942620612680912e-02  -3.310503438115120e-02  4.960214346647263e-02  3.054455295205116e-02  5.086112301796675e-03  -3.051583689739346e-06  -2.050901002803585e-06  2.171425927954829e-09  1.362658800000000e+07  4.905584319203626e-06  3.270418119427632e-06  1.083842390836587e-11
  9.999999776482582e-03  6.931769409179688e+02  3.682775268554688e+02  3.481129150390625e+02  1.364145812988281e+02  -1.086535034179688e+02  -9.868569946289062e+01  -1.511886803200468e-04  -6.624675734201446e-05  4.014076694147661e-05  1.362646600000000e+07  4.806548076885520e-06  3.241928652641946e-06  1.611414468527528e-08
  1.499999966472387e-02  2.568181152343750e+03  1.303292724609375e+03  1.286415771484375e+03  5.511213989257812e+02  -5.018732299804688e+02  -6.112857055664062e+02  -5.405748961493373e-04  -2.160934818675742e-04  2.100767742376775e-04  1.362614900000000e+07  4.953809821017785e-06  3.276480811109650e-06  -2.046062874683230e-08
  1.999999955296516e-02  4.740640136718750e+03  2.352858154296875e+03  2.446722167968750e+03  1.113000976562500e+03  -1.205742187500000e+03  -1.646455688476562e+03  -9.865348692983389e-04  -3.607974213082343e-04  5.087315803393722e-04  1.362578300000000e+07  5.073486136097927e-06  3.268829459557310e-06  -6.383235273688115e-08
  2.500000037252903e-02  5.983292968750000e+03  2.914368896484375e+03  3.276414062500000e+03  1.542843994140625e+03  -2.082456054687500e+03  -2.943245117187500e+03  -1.239119679667056e-03  -3.839225391857326e-04  8.185924962162971e-04  1.362558700000000e+07  4.889154752163449e-06  3.254191597079625e-06  -6.864321555610786e-09
  2.999999932944775e-02  5.602506835937500e+03  2.625850097656250e+03  3.408032958984375e+03  1.589329101562500e+03  -2.912793701171875e+03  -4.015920166015625e+03  -1.152233220636845e-03  -2.088537439703941e-04  9.738489752635360e-04  1.362567700000000e+07  4.814758540305775e-06  3.328808588776155e-06  3.980617790944052e-08
  3.500000014901161e-02  3.668258789062500e+03  1.493148071289062e+03  2.795433105468750e+03  1.129838256835938e+03  -3.495521484375000e+03  -4.381753906250000e+03  -7.300504366867244e-04  1.730394287733361e-04  8.415197371505201e-04  1.362603000000000e+07  4.888092007604428e-06  3.303745188532048e-06  3.167949103044521e-08
  3.999999910593033e-02  7.875047607421875e+02  -1.874295043945312e+02  1.659021728515625e+03  1.876004333496094e+02  -3.713076416015625e+03  -3.742725341796875e+03  -8.905557479010895e-05  7.071583531796932e-04  3.731826727744192e-04  1.362655400000000e+07  4.785592409461970e-06  3.116380867140833e-06  7.046721606229767e-08
  4.500000178813934e-02  -2.273370605468750e+03  -1.994856445312500e+03  3.437890625000000e+02  -1.103278198242188e+03  -3.550966308593750e+03  -2.070953125000000e+03  6.098771700635552e-04  1.299270894378424e-03  -3.819660050794482e-04  1.362708200000000e+07  5.192622666072566e-06  3.531436277626199e-06  4.061142089284431e-09
  5.000000074505806e-02  -7.281618652343750e+03  -4.975160156250000e+03  -1.654940795898438e+03  -3.390046875000000e+03  -2.867946533203125e+03  7.460307617187500e+02  1.588140497915447e-03  2.086699940264225e-03  -1.351153012365103e-03  1.362791600000000e+07  4.985790837963577e-06  3.301443712189212e-06  6.991523804344979e-08
  5.499999970197678e-02  -9.079941406250000e+03  -5.650743164062500e+03  -2.143823730468750e+03  -4.757227050781250e+03  -2.247287597656250e+03  3.539755126953125e+03  1.959531567990780e-03  2.418048679828644e-03  -2.195856766775250e-03  1.362807100000000e+07  5.164381036593113e-06  3.353663259986206e-06  9.183439431126317e-08
  5.999999865889549e-02  -1.006553027343750e+04  -5.643873535156250e+03  -2.084535888671875e+03  -5.861127929687500e+03  -1.612098266601562e+03  6.172742675781250e+03  2.094327239319682e-03  2.531080739572644e-03  -2.833517966791987e-03  1.362802500000000e+07  4.902703039988410e-06  3.274457640145556e-06  3.472757370559520e-08
  6.499999761581421e-02  -1.069813281250000e+04  -5.145801757812500e+03  -1.624342529296875e+03  -6.633277832031250e+03  -1.037441406250000e+03  8.240987304687500e+03  2.045706612989306e-03  2.414854243397713e-03  -3.142960835248232e-03  1.362784900000000e+07  4.880348114966182e-06  3.350196266183048e-06  -7.521482814354385e-08
  7.000000029802322e-02  -1.154448046875000e+04  -4.457045410156250e+03  -1.004795104980469e+03  -7.067020019531250e+03  -5.338104248046875e+02  9.490879882812500e+03  1.894168904982507e-03  2.089842921122909e-03  -3.068188205361366e-03  1.362764500000000e+07  4.924058430333389e-06  3.297852117611910e-06  -2.189040415601085e-08
  7.500000298023224e-02  -1.309156738281250e+04  -3.903106689453125e+03  -4.896018371582031e+02  -7.191660156250000e+03  -4.911545944213867e+01  9.843578125000000e+03  1.713868463411927e-03  1.597092137672007e-03  -2.620974089950323e-03  1.362752000000000e+07  4.886787792202085e-06  3.134568942186888e-06  9.270239331726771e-08
  7.999999821186066e-02  -1.567359863281250e+04  -3.784857177734375e+03  -3.221402587890625e+02  -7.056364746093750e+03  5.110956115722656e+02  9.371669921875000e+03  1.559556345455348e-03  9.903699392452836e-04  -1.868429477326572e-03  1.362756900000000e+07  4.879485459241550e-06  3.191922587575391e-06  3.861307273922421e-09
  8.500000089406967e-02  -1.932584375000000e+04  -4.267333007812500e+03  -6.615359497070312e+02  -6.667717285156250e+03  1.267042358398438e+03  8.264920898437500e+03  1.441964530386031e-03  3.163828514516354e-04  -9.180844645015895e-04  1.362783400000000e+07  4.976688160240883e-06  3.484998160274699e-06  -1.923135499737327e-07
  9.000000357627869e-02  -2.379895507812500e+04  -5.348451171875000e+03  -1.553160034179688e+03  -5.985180664062500e+03  2.311515869140625e+03  6.760066894531250e+03  1.330397091805935e-03  -3.926652716472745e-04  1.120357774198055e-04  1.362829600000000e+07  4.730563887278549e-06  2.909481963797589e-06  3.518946201097606e-08
