time,gravitational_energy,acoustic_energy,acoustic_kinetic_energy,elastic_energy,elastic_kinetic_energy,total_frictional_work,static_frictional_work,seismic_moment,plastic_moment
0,0,0,0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0
1,0,0,0,2.78610e+15,9.06019e+14,1.83136e+15,2.07604e+15,3.58523e+19,0
2,0,0,0,3.19969e+15,8.56793e+14,2.04630e+15,2.22829e+15,4.07164e+19,0
