time,gravitational_energy,acoustic_energy,acoustic_kinetic_energy,elastic_energy,elastic_kinetic_energy,total_frictional_work,static_frictional_work,seismic_moment,plastic_moment
0,0,0,0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0
1,0,0,0,5.87733e+14,2.80433e+14,4.33106e+14,5.64445e+14,7.34943e+17,0
2,0,0,0,2.70118e+15,6.42147e+14,1.67005e+15,2.26265e+15,4.91953e+18,0
