TITLE = "Temporal Signal for fault receiver number 12"
VARIABLES = "Time" ,"SRs" ,"SRd" ,"T_s" ,"T_d" ,"P_n" ,"u_n" ,"Mud" ,"StV" ,"Ts0" ,"Td0" ,"Pn0" ,"Vr"
# x1	-3.0000000000000000e+03
# x2	3.0616169978683832e-13
# x3	-5.0000000000000000e+03
0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	6.9900770914175957e+07	3.6689789948827381e-09	-1.1990341925775349e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408225e+07	3.6835309101111050e-09	-1.1990341925775349e+08	0.0000000000000000e+00	
6.5139233721450977e-04	0.0000000000000000e+00	0.0000000000000000e+00	6.9900770914175957e+07	3.6689789948827381e-09	-1.1990341925775349e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408225e+07	3.6835309101111050e-09	-1.1990341925775349e+08	0.0000000000000000e+00	
1.3027846744290195e-03	3.7845126409590815e-16	-6.1298950071226864e-15	6.9900770914175957e+07	-2.6133343392812575e-08	-1.1990341925775354e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408225e+07	-2.6118791477584208e-08	-1.1990341925775354e+08	0.0000000000000000e+00	
1.9541770116435295e-03	9.6214050041050724e-16	-1.1382102176262265e-14	6.9900770914175957e+07	-5.2210375482045967e-08	-1.1990341925775357e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408225e+07	-5.2195823566817600e-08	-1.1990341925775357e+08	0.0000000000000000e+00	
2.6055693488580391e-03	1.7194213478056296e-15	-1.6255725634721947e-14	6.9900770914175987e+07	-8.2012697869741286e-08	-1.1990341925775360e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408255e+07	-8.1998145954512919e-08	-1.1990341925775360e+08	0.0000000000000000e+00	
3.2569616860725487e-03	3.6272068102267295e-15	-1.9412095323552390e-14	6.9900770914175972e+07	-1.0808972995897468e-07	-1.1990341925775360e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408240e+07	-1.0807517804374632e-07	-1.1990341925775360e+08	0.0000000000000000e+00	
3.9083540232870582e-03	5.0865714080403132e-15	-2.1575282022640382e-14	6.9900770914175972e+07	-1.3044147174974617e-07	-1.1990341925775360e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408240e+07	-1.3042691983451780e-07	-1.1990341925775360e+08	0.0000000000000000e+00	
4.5597463605015678e-03	7.6812966927251770e-15	-2.2396137183556408e-14	6.9900770914175987e+07	-1.4161734264513191e-07	-1.1990341925775361e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408255e+07	-1.4160279072990354e-07	-1.1990341925775361e+08	0.0000000000000000e+00	
5.2111386977160773e-03	8.5061304309290943e-15	-2.2680201290207017e-14	6.9900770914176002e+07	-1.5651850383897957e-07	-1.1990341925775363e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408270e+07	-1.5650395192375120e-07	-1.1990341925775363e+08	0.0000000000000000e+00	
5.8625310349305869e-03	9.3621286837228578e-15	-2.2574894779104546e-14	6.9900770914176002e+07	-1.6396908443590340e-07	-1.1990341925775363e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408270e+07	-1.6395453252067503e-07	-1.1990341925775363e+08	0.0000000000000000e+00	
6.5139233721450964e-03	9.9073353280981690e-15	-2.1546677965724949e-14	6.9900770914176002e+07	-1.6769437473436531e-07	-1.1990341925775360e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408270e+07	-1.6767982281913694e-07	-1.1990341925775360e+08	0.0000000000000000e+00	
7.1653157093596060e-03	1.0308638433441341e-14	-2.0282648005530659e-14	6.9900770914176002e+07	-1.6769437473436531e-07	-1.1990341925775360e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408270e+07	-1.6767982281913694e-07	-1.1990341925775360e+08	0.0000000000000000e+00	
7.8167080465741164e-03	1.1399892293507029e-14	-1.9015495938991549e-14	6.9900770914176017e+07	-1.6769437473436531e-07	-1.1990341925775360e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408284e+07	-1.6767982281913694e-07	-1.1990341925775360e+08	0.0000000000000000e+00	
8.4681003837886269e-03	1.1372902807733032e-14	-1.7347000633114261e-14	6.9900770914176017e+07	-1.6396908443590340e-07	-1.1990341925775361e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408284e+07	-1.6395453252067503e-07	-1.1990341925775361e+08	0.0000000000000000e+00	
9.1194927210031373e-03	1.1244562134313156e-14	-1.6374416457283738e-14	6.9900770914176017e+07	-1.6769437473436531e-07	-1.1990341925775363e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408284e+07	-1.6767982281913694e-07	-1.1990341925775363e+08	0.0000000000000000e+00	
9.7708850582176477e-03	1.1310058827527910e-14	-1.5312584687706781e-14	6.9900770914176002e+07	-1.6769437473436531e-07	-1.1990341925775360e+08	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0135507489408270e+07	-1.6767982281913694e-07	-1.1990341925775360e+08	0.0000000000000000e+00	
