TITLE = "Temporal Signal for receiver number 00012"
VARIABLES = "Time","s_xx","s_yy","s_zz","s_xy","s_yz","s_xz","v1","v2","v3"
# x1       1.800000000000e+03
# x2       2.400000000000e+03
# x3       -1.000000000000e-01
  0.000000000000000e+00  -3.158716026518960e-06  8.065708989590803e-09  3.190978304701275e-06  0.000000000000000e+00  0.000000000000000e+00  4.250587153364904e-06  1.125793346545834e-06  0.000000000000000e+00  -2.035432544289506e-06
  4.999999888241291e-03  -1.653891563415527e+00  -2.171838045120239e+00  -4.983399868011475e+00  -1.377708613872528e-01  -7.035694271326065e-02  8.097515106201172e-01  1.058313159774116e-06  1.689843465157992e-08  -1.833828605413146e-06
  9.999999776482582e-03  -2.016247510910034e+00  -2.939614534378052e+00  -7.299238681793213e+00  -2.331552803516388e-01  -3.285587951540947e-02  1.370535969734192e+00  9.634151183490758e-07  3.513415691713817e-08  -1.548120849292900e-06
  1.499999966472387e-02  -5.716297030448914e-01  -7.786287665367126e-01  -4.608517646789551e+00  -4.327822029590607e-01  9.917304515838623e-01  1.364155530929565e+00  8.270677085420175e-07  5.162810978731613e-08  -7.107124702088186e-07
  1.999999955296516e-02  -9.141764044761658e-01  4.375381469726562e-01  -3.986202716827393e+00  -1.035201668739319e+00  2.032506704330444e+00  1.238129615783691e+00  7.409307158923184e-07  -7.406436797197102e-09  -1.937611955327156e-07
  2.500000037252903e-02  -4.834148406982422e+00  2.105816602706909e+00  -2.915485382080078e+00  -5.798247814178467e+00  4.143136024475098e+00  5.542825460433960e-01  -1.555776130146569e-08  -6.247742589948757e-07  7.777549058118893e-07
  2.999999932944775e-02  -7.720938205718994e+00  1.269094109535217e+00  -2.875959873199463e+00  -1.010795688629150e+01  5.102629661560059e+00  7.374277710914612e-01  -7.589819688291755e-07  -1.270378788831295e-06  1.262138084712205e-06
  3.500000014901161e-02  -1.090561962127686e+01  -8.464283943176270e-01  -4.631298065185547e+00  -1.601169013977051e+01  4.546004295349121e+00  8.650003075599670e-01  -1.751659624460444e-06  -1.909000047817244e-06  1.831853865041921e-06
  3.999999910593033e-02  -1.831427001953125e+01  -7.778840065002441e+00  -1.146808147430420e+01  -2.957242584228516e+01  9.830165505409241e-01  -7.748359441757202e-01  -3.625860927058966e-06  -3.860796823573764e-06  2.634314569149865e-06
  4.500000178813934e-02  -1.982689476013184e+01  -1.337983894348145e+01  -1.372652435302734e+01  -3.634319305419922e+01  -2.589323997497559e+00  -1.495738983154297e+00  -4.520386028161738e-06  -4.750498646899359e-06  3.013524064954254e-06
  5.000000074505806e-02  -1.774896812438965e+01  -2.031536865234375e+01  -1.793796348571777e+01  -4.571512222290039e+01  -8.967753410339355e+00  -2.281219244003296e+00  -5.339329163689399e-06  -5.785048870166065e-06  4.309922132961219e-06
  5.499999970197678e-02  -1.542211532592773e+01  -2.702358055114746e+01  -2.137396812438965e+01  -4.811592864990234e+01  -1.332145404815674e+01  -2.916779756546021e+00  -5.445624083222356e-06  -5.988364591758000e-06  5.083431005914463e-06
  5.999999865889549e-02  -8.948442459106445e+00  -2.938838958740234e+01  -1.841813087463379e+01  -4.868919372558594e+01  -1.796411514282227e+01  -3.090552091598511e+00  -5.284175131237134e-06  -5.659956514136866e-06  5.421161858976120e-06
  6.499999761581421e-02  3.404357671737671e+00  -2.995152473449707e+01  -1.454361915588379e+01  -4.228630447387695e+01  -2.042513656616211e+01  -8.024737238883972e-01  -4.072879164596088e-06  -3.430461219977587e-06  6.671708433714230e-06
  7.000000029802322e-02  9.476469039916992e+00  -3.030943107604980e+01  -1.172562408447266e+01  -3.668871307373047e+01  -2.151940727233887e+01  -4.871467649936676e-01  -3.183916987836710e-06  -2.120266344718402e-06  6.826321623520926e-06
  7.500000298023224e-02  1.881235885620117e+01  -2.768262481689453e+01  -6.409039974212646e+00  -2.128141212463379e+01  -1.926875495910645e+01  3.249309301376343e+00  -1.719248189147038e-06  2.175720737795928e-06  6.979929821682163e-06
  7.999999821186066e-02  2.534618186950684e+01  -2.108863067626953e+01  1.236658930778503e+00  -1.317084598541260e+01  -1.769425392150879e+01  4.975564002990723e+00  -9.817786121857353e-07  4.515017735684523e-06  6.416026735678315e-06
  8.500000089406967e-02  2.810412788391113e+01  -1.471461200714111e+01  5.982982158660889e+00  -4.437864303588867e+00  -1.384122085571289e+01  5.899572849273682e+00  -1.146402937024504e-07  6.776809641451109e-06  5.889423846383579e-06
  9.000000357627869e-02  2.836106681823730e+01  -6.910901546478271e+00  1.015020370483398e+01  1.267474269866943e+01  -7.101927757263184e+00  8.851254463195801e+00  3.424013641506463e-07  1.157674796559149e-05  4.741462817037245e-06
  9.499999880790710e-02  2.904344749450684e+01  4.386560440063477e+00  1.515926265716553e+01  1.981803512573242e+01  -1.449102640151978e+00  9.629742622375488e+00  7.320055033233075e-07  1.384081315336516e-05  4.258770786691457e-06
  1.000000014901161e-01  2.447543144226074e+01  1.547738552093506e+01  1.720076751708984e+01  3.238727188110352e+01  4.937640666961670e+00  9.412801742553711e+00  5.179773552299594e-07  1.712480116111692e-05  2.727404989855131e-06
  1.049999967217445e-01  2.235115623474121e+01  2.946771240234375e+01  2.155236244201660e+01  3.665777206420898e+01  1.112709236145020e+01  8.000878334045410e+00  8.536439963791054e-07  1.851958040788304e-05  2.387283529969864e-06
  1.099999994039536e-01  2.031263542175293e+01  4.429329681396484e+01  2.598688125610352e+01  3.987264633178711e+01  1.716968154907227e+01  6.352842807769775e+00  1.120722572522936e-06  1.954582512553316e-05  2.264631120851845e-06
  1.150000020861626e-01  1.305132198333740e+01  5.731285476684570e+01  2.429188156127930e+01  4.329021072387695e+01  1.934474182128906e+01  7.613365054130554e-01  1.085453163796046e-06  1.941346636158414e-05  3.960793151236430e-07
  1.199999973177910e-01  1.024849128723145e+01  7.197376251220703e+01  2.868559837341309e+01  4.307304382324219e+01  2.239009475708008e+01  -2.683099031448364e+00  1.537014895802713e-06  1.921087823575363e-05  -1.053057658850776e-07
  1.250000000000000e-01  1.633339643478394e+00  8.176293182373047e+01  2.321389579772949e+01  3.959819412231445e+01  2.051717948913574e+01  -1.122156620025635e+01  2.241828269688995e-06  1.633509236853570e-05  -2.635369810377597e-06
  1.299999952316284e-01  -3.336051225662231e+00  9.072970581054688e+01  2.337391662597656e+01  3.687054061889648e+01  2.056309318542480e+01  -1.518160820007324e+01  2.825758883773233e-06  1.467602123739198e-05  -3.578861424102797e-06
  1.350000053644180e-01  -9.443136215209961e+00  9.692465209960938e+01  2.210062789916992e+01  3.313636016845703e+01  1.802001190185547e+01  -1.921332740783691e+01  3.409212013139040e-06  1.283450183109380e-05  -4.890737727691885e-06
  1.400000005960464e-01  -2.142369842529297e+01  9.524855804443359e+01  1.156139564514160e+01  2.264269256591797e+01  1.205682659149170e+01  -2.800686836242676e+01  4.736988103104522e-06  7.388440280919895e-06  -8.138854354911018e-06
  1.449999958276749e-01  -3.164499473571777e+01  9.040755462646484e+01  2.752906322479248e+00  1.734520912170410e+01  7.012029647827148e+00  -3.123040580749512e+01  5.132530532137025e-06  4.557718057185411e-06  -9.558621059113648e-06
  1.500000059604645e-01  -4.430545425415039e+01  8.047194671630859e+01  -5.733152866363525e+00  3.450574636459351e+00  1.461531996726990e+00  -3.735126876831055e+01  6.351749107125215e-06  -1.379399691359140e-06  -1.212405732076149e-05
  1.550000011920929e-01  -5.697426223754883e+01  6.613983917236328e+01  -1.777728462219238e+01  -3.152957439422607e+00  -5.975574016571045e+00  -3.938659286499023e+01  6.352021500788396e-06  -4.294468908483395e-06  -1.319560124102281e-05
  1.599999964237213e-01  -7.119500732421875e+01  4.619890594482422e+01  -3.327294158935547e+01  -9.788128852844238e+00  -1.333999729156494e+01  -4.093952560424805e+01  6.084953838580986e-06  -7.458776963176206e-06  -1.389205954183126e-05
  1.650000065565109e-01  -8.260672760009766e+01  2.433247947692871e+01  -3.546327972412109e+01  -2.504149436950684e+01  -1.654581260681152e+01  -4.143031692504883e+01  6.288200438575586e-06  -1.251218691322720e-05  -1.399548818881158e-05
  1.700000017881393e-01  -9.499331665039062e+01  -1.192015647888184e+00  -4.724214553833008e+01  -3.173348045349121e+01  -2.334465026855469e+01  -4.136959075927734e+01  5.474700174090685e-06  -1.528586835775059e-05  -1.368427365378011e-05
  1.749999970197678e-01  -1.032193527221680e+02  -2.867334365844727e+01  -4.261947631835938e+01  -4.542079925537109e+01  -2.375882911682129e+01  -3.688507843017578e+01  4.772824468091130e-06  -1.884348603198305e-05  -1.178305046778405e-05
  1.800000071525574e-01  -1.134768066406250e+02  -5.911130142211914e+01  -5.153320312500000e+01  -5.107544708251953e+01  -2.818238067626953e+01  -3.548621749877930e+01  3.589002290027565e-06  -2.118345946655609e-05  -1.032114778354298e-05
  1.850000023841858e-01  -1.203003005981445e+02  -8.850117492675781e+01  -5.502198791503906e+01  -5.627821731567383e+01  -3.144784736633301e+01  -3.350301742553711e+01  2.280203261761926e-06  -2.334913187951315e-05  -8.734991752135102e-06
  1.899999976158142e-01  -1.230334091186523e+02  -1.201488723754883e+02  -4.423066711425781e+01  -6.474782562255859e+01  -2.830413818359375e+01  -2.395356178283691e+01  8.851487223182630e-07  -2.474230132065713e-05  -5.172276360099204e-06
  1.949999928474426e-01  -1.273088989257812e+02  -1.505165100097656e+02  -4.462282180786133e+01  -6.772286224365234e+01  -2.874266242980957e+01  -2.139968872070312e+01  -2.542313666253904e-07  -2.627417052281089e-05  -3.096332875429653e-06
  2.000000029802322e-01  -1.278294372558594e+02  -1.824225311279297e+02  -3.515390777587891e+01  -7.038402557373047e+01  -2.458253479003906e+01  -9.849379539489746e+00  -1.642169195292809e-06  -2.612934804346878e-05  6.459962378357886e-07
  2.049999982118607e-01  -1.262299041748047e+02  -2.080577239990234e+02  -2.955093955993652e+01  -7.033779144287109e+01  -2.253075981140137e+01  -5.867715358734131e+00  -2.568369609434740e-06  -2.695240436878521e-05  2.467614649503957e-06
  2.099999934434891e-01  -1.260706787109375e+02  -2.339093017578125e+02  -2.599878692626953e+01  -6.918405151367188e+01  -1.959014892578125e+01  -2.619914293289185e+00  -3.058974698433303e-06  -2.752480759227183e-05  4.325921509007458e-06
  2.150000035762787e-01  -1.227214508056641e+02  -2.583327636718750e+02  -1.888313484191895e+01  -6.329094696044922e+01  -1.439796352386475e+01  9.015426635742188e+00  -3.722828296304215e-06  -2.567376395745669e-05  7.403862127830507e-06
  2.199999988079071e-01  -1.178444290161133e+02  -2.764659729003906e+02  -1.320431518554688e+01  -5.870220565795898e+01  -1.011826705932617e+01  1.356150722503662e+01  -3.850570010399679e-06  -2.548326665419154e-05  8.737083589949179e-06
  2.249999940395355e-01  -1.114781951904297e+02  -2.906439514160156e+02  -7.880026340484619e+00  -4.710074615478516e+01  -5.489933967590332e+00  2.333154678344727e+01  -3.952095084969187e-06  -2.266128649353050e-05  1.118771979236044e-05
  2.300000041723251e-01  -1.074528961181641e+02  -3.021592407226562e+02  -6.211143493652344e+00  -3.930673599243164e+01  -6.353445053100586e-01  2.658175277709961e+01  -3.287777417426696e-06  -2.171252890548203e-05  1.225143842020771e-05
  2.349999994039536e-01  -9.997863006591797e+01  -3.081447753906250e+02  -3.338455438613892e+00  -3.040916633605957e+01  4.354881286621094e+00  3.142600059509277e+01  -2.708960209929501e-06  -2.040431718342006e-05  1.308403261646163e-05
  2.399999946355820e-01  -8.810377502441406e+01  -3.018105468750000e+02  1.802757859230042e+00  -1.330334949493408e+01  8.125265121459961e+00  3.761244583129883e+01  -2.191071871493477e-06  -1.641562084842008e-05  1.478790454711998e-05
  2.450000047683716e-01  -8.026163482666016e+01  -2.976496582031250e+02  1.733946204185486e+00  -2.113666296005249e+00  1.312596893310547e+01  4.104295730590820e+01  -1.127407585954643e-06  -1.434234218322672e-05  1.539494041935541e-05
  2.500000000000000e-01  -6.352808380126953e+01  -2.751189575195312e+02  7.934437274932861e+00  1.651878929138184e+01  1.583878231048584e+01  4.358973312377930e+01  -5.504190312421997e-07  -9.832912837737240e-06  1.662946851865854e-05
  2.549999952316284e-01  -4.977830505371094e+01  -2.571595458984375e+02  9.790858268737793e+00  2.875307464599609e+01  2.069992637634277e+01  4.787860870361328e+01  2.480783791725116e-07  -7.106092652975349e-06  1.691049510554876e-05
  2.599999904632568e-01  -3.615957641601562e+01  -2.346011810302734e+02  1.013560009002686e+01  4.135912322998047e+01  2.567250061035156e+01  5.119479751586914e+01  1.229443796546548e-06  -4.030885065731127e-06  1.714025711407885e-05
