profilingId,localId,layerType,size,dynamicRuptureSize,rank,localRank
4,0,Copy,0,0,0,0
0,0,Interior,585,172,0,0
5,1,Copy,0,0,0,0
1,1,Interior,2269,181,0,0
6,2,Copy,0,0,0,0
2,2,Interior,12919,209,0,0
7,3,Copy,0,0,0,0
3,3,Interior,3357,0,0,0
