TITLE = "Temporal Signal for fault receiver number(s) and simulation(s) 2,1;"
VARIABLES = "Time" ,"SRs" ,"SRd" ,"u_n" ,"Mud" ,"StV" ,"Ts0" ,"Td0" ,"Pn0" ,"Sls" ,"Sld" ,"Vr" ,"ASl" ,"PSR" ,"RT" ,"DS" ,"P_f" ,"Tmp"
# Receiver number 2
# x1	2.0000000000000000e+03
# x2	3.3677786976518531e-13
# x3	-5.5000000000000000e+03
# P_01	-1.2000000000000000e+08
# T_s1	6.3717069683645450e+07
# T_d1	-2.8985082903615609e+07
0.0000000000000000e+00	-0.0000000000000000e+00	-0.0000000000000000e+00	0.0000000000000000e+00	6.7700000000000005e-01	0.0000000000000000e+00	7.0000000000000000e+07	-7.6440248355173886e-09	-1.2000000000000000e+08	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	
2.3690113210530165e-03	-0.0000000000000000e+00	-0.0000000000000000e+00	-1.5229219250905509e-06	6.7579504762119236e-01	0.0000000000000000e+00	7.0000000009277016e+07	-9.2259814153355935e-03	-1.2000000002361690e+08	3.1709273186201307e-03	-4.9469501044672785e-13	0.0000000000000000e+00	3.1709273126518242e-03	1.3667435296253811e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	
4.7380226421060330e-03	-0.0000000000000000e+00	-0.0000000000000000e+00	4.3768440964102637e-04	6.7456266145924670e-01	0.0000000000000000e+00	7.0030174356815159e+07	-1.6209866596784888e+00	-1.2000038067275074e+08	6.4140488196269474e-03	-6.6398713300480322e-11	0.0000000000000000e+00	6.4140487914561856e-03	1.3977301722725026e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	
7.1070339631590495e-03	-0.0000000000000000e+00	-0.0000000000000000e+00	2.0442674421615216e-03	6.7329523873791608e-01	0.0000000000000000e+00	7.0060016931048602e+07	-2.7731660701453825e+02	-1.1999283813308620e+08	9.7493652717207616e-03	-8.8406186973054248e-09	0.0000000000000000e+00	9.7493717423262349e-03	1.4370695305809764e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	
9.4760452842120660e-03	-0.0000000000000000e+00	-0.0000000000000000e+00	4.6897591396658170e-03	6.7198533094815827e-01	0.0000000000000000e+00	7.0091308517012134e+07	-3.1062571039414274e+02	-1.1998174168706577e+08	1.3196466090406317e-02	-2.9334322764601871e-08	0.0000000000000000e+00	1.3196497504846668e-02	1.4848391632087272e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	
1.1845056605265082e-02	-0.0000000000000000e+00	-0.0000000000000000e+00	8.2153308026597198e-03	6.7062580929595295e-01	0.0000000000000000e+00	7.0124770331295192e+07	-1.1029847357838517e+02	-1.1996960428743772e+08	1.6774097565691381e-02	-6.7133075096613839e-08	0.0000000000000000e+00	1.6774186063281980e-02	1.5407881462238948e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	
1.4214067926318099e-02	-0.0000000000000000e+00	-0.0000000000000000e+00	1.2439383750843696e-02	6.6920996269656097e-01	0.0000000000000000e+00	7.0160534610138759e+07	1.6844068717187864e+02	-1.1995779969769824e+08	2.0499908080238154e-02	-1.3251457858478982e-07	0.0000000000000000e+00	2.0500098166944997e-02	1.6044614187300246e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	
1.6583079247371117e-02	-0.0000000000000000e+00	-0.0000000000000000e+00	1.7163301918752358e-02	6.6773153903314864e-01	0.0000000000000000e+00	7.0198398100172460e+07	3.6903139753509356e+02	-1.1994700021546111e+08	2.4390341260310144e-02	-2.3972269477059464e-07	0.0000000000000000e+00	2.4390686754872232e-02	1.6753142318894050e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	
1.8952090568424132e-02	-0.0000000000000000e+00	-0.0000000000000000e+00	2.2178710658537222e-02	6.6618473686406221e-01	0.0000000000000000e+00	7.0237995621473476e+07	3.7735631247301990e+02	-1.1993744785891643e+08	2.8460658177694016e-02	-4.0540507684454506e-07	0.0000000000000000e+00	2.8461218778783631e-02	1.7527964099613125e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	
2.1321101889477147e-02	-0.0000000000000000e+00	-0.0000000000000000e+00	2.7276971868411850e-02	6.6456416136067031e-01	0.0000000000000000e+00	7.0278910135730907e+07	1.2725973026850701e+02	-1.1992912945028220e+08	3.2725052691780589e-02	-6.4704703032011179e-07	0.0000000000000000e+00	3.2725891156130955e-02	1.8364076153267535e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	
